,language,loweredLarynxImplosive,elevation
adam1253,Adamawa Fulfulde,2,370
avok1242,Avokaya,2,853
baan1242,Baangi,2,410
baka1272,Baka (Cameroon),2,548
band1352,Bandi,1,385
basa1284,Basa (Cameroon),1,179
bhel1238,Bhele,2,1142
cent2018,Central-Eastern Niger Fulfulde,2,471
dann1241,Dan,2,324
doya1240,Doyayo,2,309
dual1243,Duala,2,9
enge1239,Engenni,2,20
gbay1287,Gbaya-Bossangoa,2,476
gbay1288,Gbaya (Sudan),2,596
godi1239,Godié,1,205
gude1246,Gude,2,874
guin1254,Guinea Kpelle,1,446
haus1257,Hausa,8,600
jurm1239,Jur Modo,2,492
kako1242,Kako,2,594
kara1478,Karang,2,596
komo1260,Komo (Democratic Republic of Congo),2,586
lako1244,Lakota Dida,1,165
lele1276,Lele (Chad),2,399
lend1245,Lendu,6,1676
libe1247,Liberia Kpelle,1,285
loma1260,Loma (Liberia),2,474
lugb1240,Lugbara,2,1225
maas1239,Maasina Fulfulde,2,298
mang1394,Mangbetu,3,736
mboc1235,Mbo (Cameroon),1,835
mofu1248,Mofu-Gudur,2,730
mund1326,Mündü,2,872
mwag1236,Mwaghavul,2,1330
mwan1250,Mwan,1,281
ngam1268,Ngambay,2,479
ngas1240,Ngas,2,1130
ngba1285,Ngbaka Minagende,1,363
nort2775,Northwest Gbaya,2,961
nort2780,Northern Dagara,1,305
nort2819,Northern Bobo Madaré,1,467
nucl1417,Igbo,2,8
nucl1418,Bassa,1,56
nucl1683,Daba,2,813
nyab1255,Nyabwa,1,254
park1239,Parkwa,2,541
pula1262,Pular,2,123
pula1263,Pulaar,2,47
sere1260,Sereer,5,4
siss1242,Sissala of Burkina Faso,1,292
sout2774,Southeast Ijo,2,7
sout2789,Central Dagaare,1,342
taro1263,Tarok,2,210
tika1246,Tikar,2,815
tour1242,Toura (Côte d'Ivoire),1,546
vute1244,Vute,2,894
wann1242,Wan,1,274
west2454,Western Niger Fulfulde,2,293
yaou1238,Yaouré,1,235
zulg1242,Zulgo-Gemzek,2,719
0,Abidji,0,96
1,Adioukrou,0,68
2,Aja (Benin),0,152
3,Anyin Morofo,0,79
4,Igo,0,722
5,Akan,0,166
6,Akoose,0,859
7,Anufo,0,137
8,Sudanese Arabic,0,504
9,Vengo,0,1680
10,Bafut,0,822
11,Bambara,0,386
12,Banda-Ndélé,0,824
13,Baoulé,0,9
14,Baatonum,0,379
15,Ntcham,0,243
16,Gagnoa Bété,0,211
17,Bekwarra,0,96
18,Berom,0,1221
19,Beng,0,214
20,Biali,0,147
21,Bimoba,0,177
22,Bissa,0,263
23,Boko (Benin),0,320
24,Hainyaxo Bozo,0,283
25,Bulu (Cameroon),0,706
26,Cerma,0,314
27,Chumburung,0,93
28,Dagbani,0,181
29,Adangme,0,50
30,Dazaga,0,304
31,Luo (Kenya and Tanzania),0,1467
32,Dyula,0,274
33,Ditammari,0,313
34,Toro So Dogon,0,279
35,Duruma,0,221
36,Ebira,0,200
37,Ewe,0,114
38,Bini,0,126
40,Ejagham,0,220
41,Emai-Iuleha-Ora,0,148
42,Ewondo,0,593
43,Fe'fe',0,1444
44,Fon,0,154
45,Fuliiru,0,1629
46,Ga,0,94
47,Ngangam,0,161
48,Gen,0,0
49,Gonja,0,93
50,Northern Grebo,0,205
51,Gourmanchéma,0,201
52,Hanga,0,153
53,Ifè,0,214
54,Igede,0,76
56,Izi,0,72
57,Jola-Fonyi,0,31
58,Kabiyé,0,191
59,Central Kanuri,0,314
60,Western Karaboro,0,292
61,Kasem,0,277
62,Koonzime,0,675
63,Kikuyu,0,2715
64,Northern Kissi,0,416
65,Kom (Cameroon),0,1789
66,Konkomba,0,149
67,Krio,0,11
68,Tepo Krumen,0,192
69,Kuria,0,1176
70,Kusaal,0,173
71,Lama (Togo),0,457
72,Loko,0,90
73,Ligbi,0,315
74,West-Central Limba,0,63
75,Limbum,0,1057
76,Lingala,0,342
77,Lukpa,0,397
78,Ganda,0,1295
79,Lyélé,0,275
80,Donga Mambila,0,781
81,Western Mambila,0,1281
82,Mampruli,0,152
83,Western Maninkakan,0,71
84,Eastern Maninkakan,0,632
85,Kita Maninkakan,0,344
86,Cross River Mbembe,0,41
87,Makaa,0,693
88,Mende (Sierra Leone),0,172
89,Meta',0,1032
90,Mamara Senoufo,0,323
91,Deg,0,163
92,Mossi,0,157
93,Mundani,0,321
94,Kituba (Congo),0,466
95,Murle,0,452
96,Nafaanra,0,307
97,Nawdm,0,333
98,Northern Nuni,0,285
99,Nomaande,0,759
100,Northern Ngbandi,0,404
101,Ngiemboon,0,1797
102,Lamnso',0,1352
103,Nugunu (Cameroon),0,481
104,Nupe-Nupe-Tako,0,127
105,Ma'di,0,1387
106,Rendille,0,532
107,Sabaot,0,3036
108,Sango,0,503
109,Senara Sénoufo,0,361
110,Koyra Chiini Songhay,0,264
111,Soninke,0,157
112,Susu,0,238
113,Swahili,0,200
114,Tawallammat Tamajaq,0,282
115,Tamasheq,0,292
116,Téén,0,329
117,Tedaga,0,477
118,Tem,0,383
119,Tofin Gbe,0,0
120,Timne,0,48
121,Toposa,0,458
122,Northern Toussian,0,417
123,Vagla,0,345
124,Waama,0,477
125,Wobe-Wè Northern,0,314
126,Wolof,0,53
127,Yamba,0,1160
128,Yambeta,0,717
129,Yemba,0,1324
130,Yom,0,418
131,Yoruba,0,105
132,Zande,0,638
133,Zarma-Kaado,0,178
