Glottocode,language,loweredLarynxImplosive,elevation
afad1236,Afade,2,293
apro1235,Aproumu Aizi,1,24
bert1248,Berta,1,897
cent1989,Central Khmer,2,26
cent2144,Central Mazahua,2,2941
daha1245,Dahalo,3,20
dalo1238,Daloa Bété,1,234
dang1274,Dangaleat,3,459
dann1241,Dan,2,324
darf1239,Dar Fur Daju,3,609
dawr1236,Dawro,1,1936
doya1240,Doyayo,2,309
gbag1258,Gbagyi,1,261
gbay1287,Gbaya-Bossangoa,2,476
hame1242,Hamer-Banna,3,1012
haus1257,Hausa,2,600
ikkk1242,Ik,4,1739
iraq1241,Iraqw,2,1767
isok1239,Isoko,1,16
katc1249,Katcha-Kadugli-Miri,3,473
khmu1256,Khmu,2,953
koho1244,Koho,2,871
kohu1244,Kohumono,1,23
komo1258,Komo (Sudan),2,767
lave1249,Brao,2,581
libe1247,Liberia Kpelle,1,285
marg1265,Marghi Central,2,426
masa1300,Masai,4,1187
mbaa1245,Mba,2,456
mbum1254,Mbum,2,830
movi1243,Movima,2,146
murl1244,Murle,2,452
ndut1239,Ndut,2,35
ngas1240,Ngas,3,1130
niel1243,Niellim,2,358
nort2952,Northeast Maidu,2,1271
nucl1240,Mumuye,1,543
nucl1417,Igbo,3,8
nyan1313,Nyang'i,4,1369
ogbi1239,Ogbia,2,21
popt1235,Popti',2,2060
pwon1235,Pwo Northern Karen,2,1113
sang1328,Sango,1,503
sgaw1245,S'gaw Karen,2,246
sout2994,Southern Nambikuára,2,687
tama1331,Tama (Chad),2,1045
taro1263,Tarok,2,210
tera1251,Tera,5,363
trum1247,Trumai,1,284
viet1252,Vietnamese,2,8
wame1240,Wamey,3,79
yulu1243,Yulu,3,680
zulu1248,Zulu,1,537
