Glottocode,language,raisedLarynxEjective,elevation
afad1236,Afade,4,293
ahte1237,Ahtena,4,0
amha1245,Amharic,5,3440
arch1244,Archi,15,1822
avar1256,Avar,9,646
bats1242,Bats,6,1048
bell1243,Bella Coola,7,852
bert1248,Berta,3,897
cadd1256,Caddo,4,377
cent2144,Central Mazahua,6,2941
chip1261,Chipewyan,6,258
daha1245,Dahalo,7,20
dawr1236,Dawro,3,1936
dizi1235,Dizin,4,2094
eyak1241,Eyak,5,0
hadz1240,Hadza,5,1277
hame1242,Hamer-Banna,1,1012
haus1257,Hausa,3,600
huas1242,Huastec,5,69
hupa1239,Hupa,5,123
ikkk1242,Ik,2,1739
iraq1241,Iraqw,1,1767
itel1242,West Itelmen,5,124
iton1250,Itonama,3,169
jaqa1244,Jaqaru,8,2766
juho1239,South-Eastern Ju,9,1161
kaba1278,Kabardian,10,1234
kafa1242,Kafa,4,1743
kekc1242,Kekchí,5,28
kiow1266,Kiowa,4,450
klam1254,Klamath-Modoc,5,1299
komo1258,Komo (Sudan),4,767
kwak1269,Kwak'wala,7,112
lakk1252,Lak,10,2018
lako1247,Lakota,7,834
lush1252,Northern Lushootseed,8,92
nava1243,Navajo,4,2140
nezp1238,Nez Perce,5,1041
nort1550,Taos Northern Tiwa,4,2143
nort2938,Northern Haida,7,80
nort2952,Northeast Maidu,4,1271
nucl1235,Eastern Armenian,5,1912
nucl1302,Georgian,6,1338
nucl1649,Southern-Coastal Tsimshian,7,278
nuuc1236,Nuu-chah-nulth,8,614
popt1235,Popti',5,2060
qawa1238,Qawasqar,3,80
quil1240,Quileute,8,16
rutu1240,Rutul,12,1950
sand1273,Sandawe,4,1208
shas1239,Shasta,4,1111
soqo1240,Soqotri,4,929
sout2982,Southeastern Pomo,6,439
sout2991,South Bolivian Quechua,5,4156
sout2994,Southern Nambikuára,4,687
tehu1242,Tehuelche,5,299
tigr1270,Tigre,4,2112
tlin1245,Tlingit,14,656
tzel1254,Tzeltal,5,2091
uppe1439,Upper Chehalis,8,35
wapp1239,Wappo,6,59
west2632,Western Keres,10,1852
wich1260,Wichita,3,390
wint1259,Wintu,6,157
yana1271,Yana,4,25
yuca1254,Yucatec Maya,5,86
yuch1247,Yuchi,9,247
zulu1248,Zulu,4,537
zuni1245,Zuni,4,2210
